episode_id,generation_seed,difficulty_bucket,m01_transport_fixture_id,D,L,O,A,C,lucid_score_episode
ep_symneg_9d866e4878111df6,1,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_779c267696344303,2,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_e0d74bdb548fb01a,3,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_58cf537122423b35,4,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_2f70169502091e4a,5,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_eeb0d405599718e4,6,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_b5ff34c7660b18bf,7,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_cdb11cff2f672481,8,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_b4469db5b4d42048,9,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_1fe6d1b9ef2a1818,10,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_e8bce79233de776a,11,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_528a7ae4466991b5,12,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_5f02bdef6cebfc32,13,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_9592acf43b24a8e8,14,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_ab88bfefa22eb607,15,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_0c0efd8037eb7945,16,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_37a6828c5edecfad,17,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_41a14ed7aef6475f,18,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_5e3a13f00f2a16dc,19,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_6424805f563c053a,20,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_7ba119058656c520,21,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_bf778a90709dd55e,22,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_41dfe9467cf48844,23,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_c7c0ac409e03d18a,24,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_cd6e1768daf6c23a,25,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_83749835e3458fb0,26,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_152f670f02d8d9ac,27,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_76da5da11f6988aa,28,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_dca703f3a0cebe2c,29,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_7e6a4a62dca94e6d,30,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_0451e12839bcda47,31,LOW,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_1f438ab471eb138c,100,LOW,symneg_100_low,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_f19086712926a24a,32,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_7287234a7c0eaa0a,33,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
