Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
michael1232/lucid-kaggle-community-benchmarks,deepseek-r1-0528,,1,"2026-04-03 17:03:24",0,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-r1-0528,lucid_main_task,1,"2026-03-31 20:48:22",0.6604166666666668,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-r1-0528,lucid_m09_mature_evidence_task,1,"2026-04-03 17:03:24",,,,False
michael1232/lucid-kaggle-community-benchmarks,gemma-3-4b-it,,1,"2026-04-04 01:52:33",0,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-4b-it,lucid_main_task,1,"2026-03-31 20:48:45",0.4675,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-4b-it,lucid_m09_mature_evidence_task,1,"2026-04-04 01:52:33",,,,False
michael1232/lucid-kaggle-community-benchmarks,gemma-3-12b-it,,1,"2026-04-05 06:40:09",0,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-12b-it,lucid_main_task,1,"2026-03-31 20:40:51",0.6744166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-12b-it,lucid_m09_mature_evidence_task,1,"2026-04-05 06:40:09",,,,False
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-20250514,,1,"2026-04-04 00:24:42",0,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-20250514,lucid_main_task,1,"2026-03-31 20:48:10",0.8991666666666669,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-20250514,lucid_m09_mature_evidence_task,1,"2026-04-04 00:24:42",,,,False
michael1232/lucid-kaggle-community-benchmarks,gemma-3-1b-it,,1,"2026-04-04 01:52:39",0,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-1b-it,lucid_main_task,1,"2026-03-31 20:48:28",0.45875,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-1b-it,lucid_m09_mature_evidence_task,1,"2026-04-04 01:52:39",,,,False
michael1232/lucid-kaggle-community-benchmarks,gpt-oss-120b,,1,"2026-04-03 17:02:33",0,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-oss-120b,lucid_main_task,1,"2026-04-03 01:14:07",0.6526666666666666,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-oss-120b,lucid_m09_mature_evidence_task,1,"2026-04-03 17:02:33",,,,False
michael1232/lucid-kaggle-community-benchmarks,gpt-oss-20b,,1,"2026-04-03 17:02:03",0,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-oss-20b,lucid_main_task,1,"2026-04-03 01:14:05",0.7225833333333335,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-oss-20b,lucid_m09_mature_evidence_task,1,"2026-04-03 17:02:03",,,,False
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-1-20250805,,1,"2026-04-05 06:36:23",0,,,
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-1-20250805,lucid_main_task,1,"2026-03-31 20:48:03",0.8954166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-1-20250805,lucid_m09_mature_evidence_task,1,"2026-04-05 06:36:23",,,,False
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.1,,1,"2026-04-03 17:02:08",0,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.1,lucid_main_task,1,"2026-03-31 20:48:10",0.46625000000000005,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.1,lucid_m09_mature_evidence_task,1,"2026-04-03 17:02:08",,,,False
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-5-20250929,,1,"2026-04-04 00:24:42",0,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-5-20250929,lucid_main_task,1,"2026-03-31 20:48:08",0.8949166666666669,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-5-20250929,lucid_m09_mature_evidence_task,1,"2026-04-04 00:24:42",,,,False
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-5-20251101,,1,"2026-04-03 17:03:55",0,,,
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-5-20251101,lucid_main_task,1,"2026-03-31 20:48:06",0.6654166666666668,,,
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-5-20251101,lucid_m09_mature_evidence_task,1,"2026-04-03 17:03:55",,,,False
michael1232/lucid-kaggle-community-benchmarks,claude-haiku-4-5-20251001,,1,"2026-04-04 00:28:22",0,,,
michael1232/lucid-kaggle-community-benchmarks,claude-haiku-4-5-20251001,lucid_main_task,1,"2026-03-31 20:48:01",0.8337500000000001,,,
michael1232/lucid-kaggle-community-benchmarks,claude-haiku-4-5-20251001,lucid_m09_mature_evidence_task,1,"2026-04-04 00:28:22",,,,False
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.2,,1,"2026-04-03 17:03:22",0,,,
