model_slug,m01_mean_lucid_main_task,m09_mean_lucid_m09_mature_evidence_task,delta_m09_minus_m01,status,evaluation_date_m09_utc,notes
claude-haiku-4-5-20251001,0.8337500000000001,,,failed_platform_limited,2026-04-04 00:28:22,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
claude-opus-4-1-20250805,0.8954166666666667,,,failed_platform_limited,2026-04-05 06:36:23,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
claude-opus-4-5-20251101,0.6654166666666668,,,failed_platform_limited,2026-04-03 17:03:55,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
claude-opus-4-6-default,0.6599166666666667,,,failed_platform_limited,2026-04-03 18:04:22,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
claude-sonnet-4-20250514,0.8991666666666669,,,failed_platform_limited,2026-04-04 00:24:42,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
claude-sonnet-4-5-20250929,0.8949166666666669,,,failed_platform_limited,2026-04-04 00:24:42,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
claude-sonnet-4-6-default,0.6766666666666667,,,failed_platform_limited,2026-04-03 17:03:27,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
deepseek-r1-0528,0.6604166666666668,,,failed_platform_limited,2026-04-03 17:03:24,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
deepseek-v3.1,0.46625000000000005,,,failed_platform_limited,2026-04-03 17:02:08,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
deepseek-v3.2,0.6512500000000001,,,failed_platform_limited,2026-04-03 17:03:22,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
gemini-2.0-flash-001,0.6804166666666668,0.6835590277777772,0.0031423611111104366,completed,2026-04-03 00:09:27,
gemini-2.0-flash-lite-001,0.6654166666666667,0.6452777777777785,-0.02013888888888815,completed,2026-04-01 23:57:38,
gemini-2.5-flash,0.6479166666666667,0.6523784722222229,0.0044618055555561975,completed,2026-04-01 23:45:03,
gemini-2.5-pro,0.8929166666666668,0.8157118055555561,-0.07720486111111069,completed,2026-04-03 00:09:13,
gemini-3-flash-preview,0.6379166666666667,0.6623784722222232,0.02446180555555655,completed,2026-04-03 00:08:23,
gemini-3.1-flash-lite-preview,0.6554166666666666,0.6427430555555564,-0.012673611111110206,completed,2026-04-03 01:07:02,
gemini-3.1-pro-preview,0.6629166666666667,,,failed_platform_limited,2026-04-03 17:03:19,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
gemma-3-12b-it,0.6744166666666667,,,failed_platform_limited,2026-04-05 06:40:09,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
gemma-3-1b-it,0.45875,,,failed_platform_limited,2026-04-04 01:52:39,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
gemma-3-27b-it,0.6771666666666666,0.7241666666666657,0.046999999999999154,completed,2026-04-03 01:06:42,
gemma-3-4b-it,0.4675,,,failed_platform_limited,2026-04-04 01:52:33,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
gemma-4-26b-a4b-it,0.6529166666666667,,,failed_platform_limited,2026-04-04 01:52:52,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
