model_slug,m01_mean_lucid_main_task,m09_mean_lucid_m09_mature_evidence_task,delta_m09_minus_m01,status
gemini-2.0-flash-001,0.6804166666666668,0.6835590277777772,0.0031423611111104366,completed
gemini-2.0-flash-lite-001,0.6654166666666667,0.6452777777777785,-0.02013888888888815,completed
gemini-2.5-flash,0.6479166666666667,0.6523784722222229,0.0044618055555561975,completed
gemini-2.5-pro,0.8929166666666668,0.8157118055555561,-0.07720486111111069,completed
gemini-3-flash-preview,0.6379166666666667,0.6623784722222232,0.02446180555555655,completed
gemini-3.1-flash-lite-preview,0.6554166666666666,0.6427430555555564,-0.012673611111110206,completed
gemma-3-27b-it,0.6771666666666666,0.7241666666666657,0.046999999999999154,completed
glm-5,0.8929166666666668,0.660815972222222,-0.2321006944444448,completed
gpt-5.4-2026-03-05,0.6611666666666668,0.7090555555555557,0.04788888888888887,completed
gpt-5.4-mini-2026-03-17,0.8934166666666669,0.6451319444444447,-0.2482847222222222,completed
gpt-5.4-nano-2026-03-17,0.7456666666666667,0.6119999999999999,-0.13366666666666682,completed
qwen3-235b-a22b-instruct-2507,0.6791666666666667,0.7117534722222216,0.03258680555555493,completed
qwen3-coder-480b-a35b-instruct,0.8941666666666669,0.7432986111111107,-0.15086805555555616,completed
qwen3-next-80b-a3b-instruct,0.6704166666666667,0.654357638888888,-0.01605902777777868,completed
qwen3-next-80b-a3b-thinking,0.6504166666666668,0.6518576388888895,0.001440972222222725,completed
