lucid_kaggle_m11_probe_p12,Score,Cost,,,,,,lucid_kaggle_m11_probe_p24,score,cost,cost multiplier,,,,
,,,,,,,,,,,,,,,
Gemini 2.5 Flash,0.67,$0.15 ,,,0.15,,,Gemini 2.5 Flash,0.66,0.26,1.7,,,0.26,8.89
Gemini 2.0 Flash Lite,0.69,$0.01 ,,,0.16,,,,,,,,,,
Gemini 2.5 Pro,0.9,$1.15 ,,,1.31,,,,,,,,,,
Gemma 3 1B,0.5,$0.02 ,,,1.33,,,,,,,,,,
Claude Haiku 4.5,0.79,$0.17 ,,,1.5,,,,,,,,,,
Qwen 3 Next 80B Instruct,0.69,$0.02 ,,,1.52,,,,,,,,,,
Claude Opus 4.6,0.73,$0.88 ,,,2.4,,,,,,,,,,
gpt-oss-20b,0.69,$0.01 ,,,2.41,,,,,,,,,,
DeepSeek V3.2,0.77,$0.04 ,,,2.45,,,DeepSeek V3.2,0.74,0.36,9,,,0.36,9.25
Qwen 3 Coder 480B,0.85,$0.01 ,,,2.46,,,Qwen 3 Coder 480B,0.85,0.02,2,,,0.02,9.27
GLM-5,0.67,$0.14 ,,,2.6,,,GLM-5,0.67,0.3,2.1,,,0.3,9.57
Gemma 4 31B,0.67,$0.01 ,,,2.61,,,,,,,,,,
Gemma 3 4B,0.48,$0.02 ,,,2.63,,,,,,,,,,
Deepseek V3.1,0.71,$0.02 ,,,2.65,,,Deepseek V3.1,0.69,0.07,3.5,,,0.07,13.92
GPT-5.4 mini,0.65,$0.03 ,,,2.68,,,GPT-5.4 mini,0.66,0.14,4.7,,,0.14,9.71
Gemma 4 26B A4B,0.68,$0.02 ,,,2.7,,,,,,,,,,
Gemini 3.1 Pro Preview,0.66,$0.43 ,,,3.13,,,,,,,,,,
Gemini 2.5 Flash,0.67,$0.03 ,,,3.16,,,,,,,,,,
Claude Opus 4.1,0.92,$2.56 ,,,5.72,,,,,,,,,,
Claude Sonnet 4,0.92,$0.52 ,,,6.24,,,Claude Sonnet 4,0.93,2.03,3.9,,,2.03,11.74
Claude Sonnet 4.5,0.89,$0.52 ,,,6.76,,,Claude Sonnet 4.5,0.88,2.04,3.9,,,2.04,13.78
GPT-5.4 nano,0.58,$0.01 ,,,6.77,,,GPT-5.4 nano,0.66,0.02,2,,,0.02,13.8
Claude Sonnet 4.6,0.74,$0.59 ,,,7.36,,,,,,,,,,
Gemini 2.0 Flash,0.69,$0.03 ,,,7.39,,,,,,,,,,
Gemma 3 27B,0.65,$0.01 ,,,7.4,,,,,,,,,,
Qwen 3 235B A22B Instruct,0.68,$0.03 ,,,7.43,,,,,,,,,,
Claude Opus 4.5,0.74,$0.87 ,,,8.3,,,Claude Opus 4.5,0.7,3.41,3.9,,,3.41,17.33
Gemma 3 12B,0.61,$0.01 ,,,8.31,,,Gemma 3 12B,0.66,0.05,5,,,0.05,13.85
Gemini 3.1 Flash-Lite Preview,0.68,$0.04 ,,,8.35,,,,,,,,,,
GPT-5.4,0.69,$0.09 ,,,8.44,,,,,,,,,,
Qwen 3 Next 80B Thinking,0.68,$0.06 ,,,8.5,,,,,,,,,,
Gemini 3 Flash Preview,0.68,$0.13 ,,,8.63,,,,,,,,,,
