model_slug,highest_completed_tier,completion_breakpoint,p12_completed,p24_completed,p48_completed,p72_completed,notes
claude-haiku-4-5-20251001,P12,P12,1,0,0,0,NA
claude-opus-4-1-20250805,P12,P12,1,0,0,0,NA
claude-opus-4-5-20251101,P12,P12,1,0,0,0,NA
claude-opus-4-6-default,P12,P12,1,0,0,0,NA
claude-sonnet-4-20250514,P12,P12,1,0,0,0,NA
claude-sonnet-4-5-20250929,P12,P12,1,0,0,0,NA
claude-sonnet-4-6-default,P12,P12,1,0,0,0,NA
deepseek-v3.1,P12,P12,1,0,0,0,NA
deepseek-v3.2,P12,P12,1,0,0,0,NA
gemini-2.0-flash-001,P72,P72,1,0,0,1,NA
gemini-2.0-flash-lite-001,P72,P72,1,0,0,1,NA
gemini-2.5-flash,P72,P72,1,0,0,1,NA
gemini-2.5-pro,P72,P72,1,0,0,1,NA
gemini-3-flash-preview,P72,P72,1,0,0,1,NA
gemini-3.1-flash-lite-preview,P72,P72,1,0,0,1,NA
gemini-3.1-pro-preview,P12,P12,1,0,0,0,NA
gemma-3-12b-it,P12,P12,1,0,0,0,NA
gemma-3-1b-it,P12,P12,1,0,0,0,NA
gemma-3-27b-it,P72,P72,1,0,0,1,NA
gemma-3-4b-it,P12,P12,1,0,0,0,NA
gemma-4-26b-a4b-it,P12,P12,1,0,0,0,NA
gemma-4-31b-it,P12,P12,1,0,0,0,NA
glm-5,P72,P72,1,0,0,1,NA
gpt-5.4-2026-03-05,P72,P72,1,0,0,1,NA
gpt-5.4-mini-2026-03-17,P72,P72,1,0,0,1,NA
gpt-5.4-nano-2026-03-17,P72,P72,1,0,0,1,NA
gpt-oss-20b,P12,P12,1,0,0,0,NA
qwen3-235b-a22b-instruct-2507,P72,P72,1,0,0,1,NA
qwen3-coder-480b-a35b-instruct,P72,P72,1,0,0,1,NA
qwen3-next-80b-a3b-instruct,P72,P72,1,0,0,1,NA
qwen3-next-80b-a3b-thinking,P72,P72,1,0,0,1,NA
