model_slug,p12_mean,p12_cost_total_usd,delta_vs_main_task,p12_mean_per_usd
qwen3-coder-480b-a35b-instruct,0.8536458333333335,0.01,-0.04052083333333334,85.36458333333336
gemini-2.0-flash-lite-001,0.6928124999999999,0.01,0.027395833333333286,69.28124999999999
gpt-oss-20b,0.6913541666666667,0.01,-0.031229166666666752,69.13541666666667
gemma-4-31b-it,0.6746875,0.01,0.0267708333333333,67.46875
gemma-3-27b-it,0.6508333333333334,0.01,-0.02633333333333321,65.08333333333334
gemma-3-12b-it,0.6119375000000001,0.01,-0.06247916666666653,61.193750000000016
gpt-5.4-nano-2026-03-17,0.5812083333333334,0.01,-0.16445833333333326,58.120833333333344
deepseek-v3.1,0.7093750000000001,0.02,0.24312500000000004,35.46875000000001
qwen3-next-80b-a3b-instruct,0.6934375,0.02,0.02302083333333338,34.671875
gemma-4-26b-a4b-it,0.6771875,0.02,0.024270833333333353,33.859375
gemma-3-1b-it,0.5001041666666667,0.02,0.04135416666666669,25.005208333333332
gemma-3-4b-it,0.4829583333333334,0.02,0.015458333333333352,24.147916666666667
gemini-2.0-flash-001,0.6906249999999999,0.03,0.010208333333333153,23.020833333333332
qwen3-235b-a22b-instruct-2507,0.6772916666666667,0.03,-0.00187499999999996,22.576388888888893
gpt-5.4-mini-2026-03-17,0.6498541666666666,0.03,-0.24356250000000024,21.661805555555556
deepseek-v3.2,0.7722916666666668,0.04,0.12104166666666671,19.30729166666667
gemini-3.1-flash-lite-preview,0.676875,0.04,0.021458333333333357,16.921875
qwen3-next-80b-a3b-thinking,0.6753125,0.06,0.024895833333333228,11.255208333333334
gpt-5.4-2026-03-05,0.686375,0.09,0.025208333333333166,7.626388888888889
gemini-3-flash-preview,0.6784374999999999,0.13,0.04052083333333323,5.218749999999999
glm-5,0.6746875,0.14,-0.2182291666666668,4.819196428571428
claude-haiku-4-5-20251001,0.79025,0.17,-0.043500000000000094,4.648529411764706
gemini-2.5-flash,0.6746875,0.18,0.0267708333333333,3.748263888888889
claude-sonnet-4-20250514,0.9240625000000001,0.52,0.024895833333333228,1.7770432692307694
claude-sonnet-4-5-20250929,0.8888541666666668,0.52,-0.006062500000000082,1.7093349358974361
gemini-3.1-pro-preview,0.6621875,0.43,-0.0007291666666666696,1.5399709302325582
claude-sonnet-4-6-default,0.7385833333333333,0.59,0.06191666666666651,1.2518361581920903
claude-opus-4-5-20251101,0.7387083333333333,0.87,0.07329166666666653,0.8490900383141762
claude-opus-4-6-default,0.7255208333333333,0.88,0.06560416666666657,0.8244554924242423
gemini-2.5-pro,0.8954166666666667,1.15,0.0024999999999999467,0.7786231884057973
claude-opus-4-1-20250805,0.9237500000000001,2.56,0.02833333333333332,0.36083984375
